School Year,School Level,School ID,School Name,State School ID,ZIP,"Pre-K, 3 Years","Pre-K, 4 Years",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic / Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
19-20,Middle School,498,John F. Kennedy Middle,393,37013,,,,,,,,167,219,206,215,,,,,2,18,333,302,1,151,404,403,250,78,327,36.0554667904,-86.6006047025,"(36.0554667904, -86.6006047025)"
19-20,High School,615,John Overton High,395,37220,,,,,,,,,,,,550,493,585,410,1,161,401,863,4,608,1087,951,608,165,800,36.0797992685,-86.7689945134,"(36.0797992685, -86.7689945134)"
19-20,Middle School,563,John Trotwood Moore Middle,490,37204,,,,,,,,187,220,180,189,,,,,1,24,229,34,2,486,432,344,167,106,25,36.0957722119,-86.801995019,"(36.0957722119, -86.801995019)"
19-20,Non-Traditional - Hybrid,480,Johnson Alternative Learning Center,740,37210,,,,,,,,,4,5,16,22,18,27,16,,1,59,32,,16,84,24,56,24,18,36.1453908839,-86.7640144621,"(36.1453908839, -86.7640144621)"
19-20,Elementary School,485,Jones Elementary,387,37208,,,31,41,42,45,45,,,,,,,,,,,199,5,,,102,102,94,24,1,36.181153731,-86.8013978855,"(36.181153731, -86.8013978855)"
19-20,Elementary School,380,Julia Green Elementary,415,37215,,,97,100,86,73,87,,,,,,,,,,30,15,18,3,377,233,210,12,30,12,36.1027239829,-86.8331193121,"(36.1027239829, -86.8331193121)"
19-20,Charter,512,KA @ The Crossings MS,8105,37013,,,,,,,,20,70,65,62,,,,,,6,82,79,,50,103,114,69,22,110,36.0450664576,-86.6515834105,"(36.0450664576, -86.6515834105)"
19-20,Charter,502,KIPP Academy Nashville,8002,37207,,,,,,,,100,96,91,90,,,,,,3,197,164,,13,203,174,201,53,124,36.1945359149,-86.7694392501,"(36.1945359149, -86.7694392501)"
19-20,Charter,499,KIPP Academy Nashville Elementary,8095,37206,,,78,84,90,79,71,,,,,,,,,1,4,364,13,,20,211,191,314,49,6,36.1674762595,-86.7519101749,"(36.1674762595, -86.7519101749)"
19-20,Charter,503,KIPP Nashville College Prep,8042,37207,,,,,,,,96,86,78,90,,,,,1,3,293,43,,10,178,172,170,54,38,36.2375074649,-86.8037065355,"(36.2375074649, -86.8037065355)"
19-20,Charter,501,KIPP Nashville College Prep Elementary,8085,37207,,,85,84,86,86,,,,,,,,,,,,306,25,,10,184,157,208,36,16,36.2382525836,-86.8036646566,"(36.2382525836, -86.8036646566)"
19-20,Charter,504,KIPP Nashville Collegiate High School,8011,37207,,,,,,,,,,,,136,123,101,71,,4,275,142,,10,213,218,170,62,64,36.1947984072,-86.7691857847,"(36.1947984072, -86.7691857847)"
19-20,Charter,511,Knowledge Academies High School,8065,37013,,,,,,,,,,,,48,55,51,51,1,4,81,78,,41,111,94,49,29,58,36.0452120214,-86.6518729615,"(36.0452120214, -86.6518729615)"
19-20,Charter,506,Knowledge Academy,8012,37013,,,,,,,,28,49,63,54,,,,,1,,57,102,,34,104,90,51,30,103,36.0454015353,-86.6519937155,"(36.0454015353, -86.6519937155)"
19-20,Elementary School,122,Lakeview Elementary,430,37217,15,43,102,102,91,105,106,,,,,,,,,,22,166,232,,144,296,268,226,77,240,36.0788149596,-86.6300723113,"(36.0788149596, -86.6300723113)"
19-20,Charter,508,LEAD Academy,8003,37208,,,,,,,,,,,,146,137,104,73,1,3,193,210,,53,218,242,208,57,184,36.1478854755,-86.7639512965,"(36.1478854755, -86.7639512965)"
19-20,Charter,181,LEAD Cameron,8010,37210,,,,,,,,183,178,187,168,,,,,,3,176,494,,43,378,338,346,85,469,36.148592789,-86.7639990186,"(36.148592789, -86.7639990186)"
19-20,Charter,507,LEAD Southeast,8013,37211,,,,,,,,147,129,130,121,112,95,70,,2,62,144,370,,226,395,409,265,80,478,36.0923357845,-86.7036708627,"(36.0923357845, -86.7036708627)"
19-20,Charter,517,Liberty Collegiate Academy,8005,37216,,,,,,,,101,104,127,95,,,,,1,1,137,263,,25,204,223,184,55,198,36.2120626994,-86.7329249332,"(36.2120626994, -86.7329249332)"
19-20,Elementary School,520,Lockeland Elementary,435,37206,,,61,58,59,58,58,,,,,,,,,,5,14,8,1,266,145,149,8,23,,36.1762250805,-86.7395204948,"(36.1762250805, -86.7395204948)"
19-20,Middle School,545,Madison Middle,622,37115,,,,,,,,145,160,140,124,,,,,,,331,161,,77,312,257,325,82,136,36.2638940195,-86.7162084879,"(36.2638940195, -86.7162084879)"
19-20,High School,550,Maplewood High,445,37216,,,,,,,,,,,,220,207,253,133,,10,576,170,,57,414,399,468,148,167,36.2327519801,-86.7503393689,"(36.2327519801, -86.7503393689)"
19-20,Middle School,100,Margaret Allen Middle,450,37210,,,,,,,,98,109,145,137,,,,,1,11,216,184,1,76,242,247,212,53,228,36.1460623437,-86.721646171,"(36.1460623437, -86.721646171)"
19-20,High School,497,Martin Luther King Jr School,456,37203,,,,,,,,,,156,145,267,253,229,232,,126,498,111,1,546,643,639,124,24,24,36.1616756426,-86.8004738094,"(36.1616756426, -86.8004738094)"
19-20,Elementary School,682,May Werthan Shayne Elementary School,608,37211,8,20,153,160,121,162,139,,,,,,,,,,75,188,81,4,415,389,374,161,80,163,36.0210311721,-86.7146311916,"(36.0210311721, -86.7146311916)"
19-20,Elementary School,530,McGavock Elementary,465,37214,,19,48,50,54,51,52,,,,,,,,,,8,83,109,,74,142,132,122,29,98,36.1605589982,-86.6810349428,"(36.1605589982, -86.6810349428)"
19-20,High School,532,McGavock High,470,37214,,,,,,,,,,,,634,558,591,536,6,56,966,430,5,856,1146,1173,793,304,244,36.1854431861,-86.6778493538,"(36.1854431861, -86.6778493538)"
19-20,Middle School,540,McMurray Middle,480,37211,,,,,,,,201,190,200,200,,,,,1,83,123,508,,76,437,354,346,91,545,36.0563796098,-86.7236924979,"(36.0563796098, -86.7236924979)"
19-20,Middle School,555,Meigs Middle,330,37206,,,,,,,,172,173,174,175,,,,,1,67,184,54,,388,335,359,52,24,26,36.1763639882,-86.760880188,"(36.1763639882, -86.760880188)"
19-20,Non-Traditional,748,Metro Nashville Virtual School,3,37209,,,,,,,,,3,8,104,19,40,102,120,1,15,205,37,,138,162,234,112,36,14,36.1501214104,-86.8453830588,"(36.1501214104, -86.8453830588)"
19-20,High School,562,Middle College High,437,37209,,,,,,,,,,,,76,60,,48,1,10,81,22,,70,89,95,31,10,12,36.1346991446,-86.8571169258,"(36.1346991446, -86.8571169258)"
19-20,Middle School,535,Moses McKissack Middle,35,37209,,,,,,,,89,65,82,64,,,,,,,267,20,,13,161,139,221,82,17,36.1598989391,-86.8319415791,"(36.1598989391, -86.8319415791)"
19-20,Elementary School,576,Mt. View Elementary,493,37013,2,52,125,115,129,129,144,,,,,,,,,1,35,247,210,2,201,349,347,218,56,247,36.0418590581,-86.6045976768,"(36.0418590581, -86.6045976768)"
19-20,Special Education,585,Murrell School,505,37210,,,,,6,10,5,10,3,7,1,,,,,,,28,3,,11,35,7,29,41,3,36.137548849,-86.7900214161,"(36.137548849, -86.7900214161)"
19-20,Elementary School,590,Napier Elementary,510,37210,5,38,45,61,52,50,52,,,,,,,,,2,,276,17,,8,145,158,258,49,16,36.1500211684,-86.7563991118,"(36.1500211684, -86.7563991118)"
19-20,Charter,589,Nashville Academy of Computer Science,8055,37207,,,,,,,,43,59,58,64,,,,,3,,169,32,,20,131,93,116,53,23,36.2349642714,-86.78246535,"(36.2349642714, -86.78246535)"
